(lat,lon),ris
(15.293022429832341, 43.826728459143844),1337
(-74.05617250380931, -44.89033153121517),69
(125.7112405283119, 7.112868959668814),0
(-106.66197477828283, 21.759462048586236),420
(122.38741968524053, 29.83836193566279),420
(-66.02372229131406, -65.91821941509028),0
(130.80902734982132, -1.268960363867449),420
(122.19843528655473, 30.251220209105625),1337
(-60.799006981299, 46.773239534993024),420
(-132.68267419131737, 55.04161049481508),420
(-178.72596899454703, -20.6610312759405),420
(125.0374974221538, 37.83398381017579),1337
(115.82159520458298, 10.724906697660389),1337
(-173.99840826003077, -18.693392541080442),0
(-164.70309489913083, 23.575120408507903),0
(131.09579805072048, -7.647068324126262),69
(109.1083379264322, 21.055848759269022),1337
(-67.57951835973208, 58.280955984402524),0
(-63.771361138385544, 46.35288631416772),420
(9.353769913168268, 47.47154315684237),1337
(-71.37347313981176, -70.34119658231525),69
(-3.2272880082318096, 5.12376357952668),0
(14.617169460745764, 68.56517769216258),0
(169.08341243939896, -18.79015278992893),0
(-7.160991986596186, 57.73301714566183),0
(-27.374947882076835, -59.43226757870719),0
(68.63131919052093, -48.63238682747355),69
(-80.70051430249768, 23.189608152048724),1337
(-136.01800447412856, 69.09790577350147),0
(-16.368197063049926, 33.06086919813606),420
(90.50384164837304, 23.056117765885265),420
(-65.0013103960916, 64.30506158713429),0
(73.66541968337224, 4.389211653285493),1337
(-60.2848616925693, 6.575523411687074),0
(-60.71228028554686, -62.93797926492843),420
(107.82917995133592, 21.003192880592227),69
(-108.06571976501895, 66.99679902591359),1337
(-61.98265986130733, 47.25542032227869),0
(-147.736484343955, 60.204223291403494),0
(73.40452190502106, 4.6285901210022145),69
(-74.52457016742707, -52.79440403656173),69
(139.10603446197467, -16.858198137769083),420
(-91.77187772548389, 18.67248559365225),420
(-74.06653663389802, -44.51327732969856),1337
(131.86156275031541, 37.24348422327752),420
(125.38414576321757, 2.1141391746866858),1337
(110.56435125343229, 21.12811910871764),69
(-33.2747699397172, 67.3060927112961),1337
(167.1023903193082, -9.804492151045109),1337
(21.098833192219782, 55.63673763437204),69
(73.24955249835038, 6.082451092568134),69
